scientific_name,common_name,description,image_url
Dyckia sp.,"
",Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Echinopsis huascha,Red Torch Cactus,,
Echinopsis sp.,Easter Lily Cactus,Plant from Mitchell Park Domes collection. Ideally should be identified to remain in collection,
Gymnocalycium saglionis,"
",,
Parodia magnifica,"
",Plant from Mitchell Park Domes collection. IUCN Endangered; larger clumps might need help/equipment,
Oreocereus trollii,Old Man of the Mountain,,
Pilosocereus sp.,"
",Plant from Mitchell Park Domes collection. Possibly P. pachycladus,
Ubelmannia pectinifera,"
",Plant from Mitchell Park Domes collection. IUCN Endangered. Large specimen; Estimated to be worth over $1000 by president of Milwaukee CSS,
Aloe macrocarpa,Zebra Aloe,Plant from Mitchell Park Domes collection. Verify ID,
Aloidendron dichotomum,Quiver Tree,Plant from Mitchell Park Domes collection. IUCN Vulnerable,
Crassula 'Tom Thumb',Tom Thumb,,
Dracaena hallii,Baseball Bat,,
Fockea edulis,"
",Plant from Mitchell Park Domes collection. Relatively big caudiciform plant; probably still able to move successfully.,
Haworthiopsis limifolia,Fairy Washboard,,
Parodia leninghausii�,Goldenball Cactus,Plant from Mitchell Park Domes collection. IUCN Endangered,
Hemionitis bradburyi,Wooly Lip Fern,,
Pelargonium carnosum�,Pelargonium,,
Yucca baccata,Blue Yucca,Plant from Mitchell Park Domes collection. Larger plants but should be able to save at least one,
Leucophyllum frutescens,Barometer Bush,Plant from Mitchell Park Domes collection. Might be able to save smaller plant,
Agave lechuguilla,Lechuguilla,,
Cylindropuntia sp.,Cholla,,
Larrea tridentata,Creosote Bush,Plant from Mitchell Park Domes collection. Uncertain of transplant success,
Opuntia phaecantha,Purple-fruited Prickly Pear,,
Opuntia santa-rita 'Tubac',Santa Rita Prickly Pear,,
Simmondsia chinensis,Jojoba,Plant from Mitchell Park Domes collection. Largest plant unlikely to survive but smaller ones (from wild-collected seed) might be able to be moved.�,
Yucca faxoniana,Spanish Dagger,,
Opuntia basilaris,Beaver Tail Cactus,,
Opuntia basilaris hyb. 'Baby Rita',Baby Rita,,
Agave parrasana,Cabbage Head Agave,Plant from Mitchell Park Domes collection. IUCN Vulnerable,
Chilopsis linearis,Desert Willow,Plant from Mitchell Park Domes collection. From wild-collected seed.,
Euphorbia antisyphilitica�,Candelilla,Plant from Mitchell Park Domes collection. Large clump; able to dig out a chunk.,
Euphorbia milii,Crown Of Thorns,,
