scientific_name,common_name,description,image_url
Curcuma alismatifolia 'Giant Pink',Siam Tulip,Plant from Mitchell Park Domes collection. might be dormant,
Curcuma alismatifolia 'Raspberry',Raspberry Siam Tulip,Plant from Mitchell Park Domes collection. potted,
Curcuma longa,Turmeric,"Plant from Mitchell Park Domes collection. potted, might be dormant",
Derris elliptica,Tuba Root,Plant from Mitchell Park Domes collection. unavailable on the market,
Disocactus anguliger,Fishbone Cactus,Plant from Mitchell Park Domes collection. potted,
Disocactus x hybridus 'Ackermannii',Orchid Cactus,Plant from Mitchell Park Domes collection. one potted,
Dracaena angolensis,African Spear,Plant from Mitchell Park Domes collection. easily transplanted,
Epipremnum pinnatum 'Marble Planet',Marble Planet Pothos,,
Urceolina caucana,Amazon Lily,Plant from Mitchell Park Domes collection. rarely seen on the market,
Eucomis comosa,Pineapple Lily,Plant from Mitchell Park Domes collection. potted,
Ficus montana,Oak-Leaf Ficus,,
Ficus pumila 'Variegata',Creeping Fig,,
Ficus villosa,Shaggy Leaved Fig,,
Gardenia jasminoides 'Variegata',Variegated Gardenia,Plant from Mitchell Park Domes collection. slow growing,
Gonatopus boivinii,Giraffe's Knees�,Plant from Mitchell Park Domes collection. relatively expensive,
Goudaea ospinae var. gruberi,Bromeliad,Plant from Mitchell Park Domes collection. easily transplanted,
Guzmania�,Orange Guzmania,,
Guzmania lingulata,Scarlet Star,Plant from Mitchell Park Domes collection. one is potted,
Hedychium 'Mutant',Mutant Ginger,Plant from Mitchell Park Domes collection. rarely seen on the market,
Hibiscus clayi,Koki'o 'ula,Plant from Mitchell Park Domes collection. Federally Endangered Species,
Hippeastrum 'Dancing Queen',Amaryllis,Plant from Mitchell Park Domes collection. potted,
Hohenbergia catingae var. elongata,Bromeliad,"Plant from Mitchell Park Domes collection. unavailable on the market, one is potted",
Hohenbergia lemei,Bromeliad,"Plant from Mitchell Park Domes collection. umavailable on thee market, potted",
Hohenbergia rosea,Giant Bromeliad,Plant from Mitchell Park Domes collection. unavailable on the market,
Homalocladium platycladum�,Centipede Plant,Plant from Mitchell Park Domes collection. we grow from cuttings,
Hoya carnosa 'Variegata',Variegated Wax Plant,"Plant from Mitchell Park Domes collection. potted, ours is a nice size",
Pombalia communis�,Hybanthus,Plant from Mitchell Park Domes collection. unavailable on the market,
Pombalia prunifolia,Hybanthus,Plant from Mitchell Park Domes collection. unavailable on the market,
Selenicereus undatus,Dragon Fruit,,
Hymenocallis caribaea,Caribbean Spider Lily,Plant from Mitchell Park Domes collection. potted,
Kaempferia pulchra 'Pink Lace',Peacock Ginger,Plant from Mitchell Park Domes collection. potted,
Medinilla magnifica,Pink Lantern�,,
Microsorum musifolium 'Crocodyllus',Crocodile Fern,,
Microsorum punctatum 'Serratum',Elkhorn Fern,Plant from Mitchell Park Domes collection. growing on a rock,
Monstera deliciosa,Split-Leaf Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Monstera deliciosa var. borsigiana 'Albo',Variegated Split-Leaf Philodendron,Plant from Mitchell Park Domes collection. potted,
Monstera obliqua,Swiss Cheese Vine,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Murraya� paniculata,Orange Jasmine,,
Nematanthus 'Yellow Maroon',Goldfish Plant,Plant from Mitchell Park Domes collection. potted,
Neoregelia 'Dragon',Dragon Bromeliad,Plant from Mitchell Park Domes collection. one is potted,
Neoregelia 'Zoe',Bromeliad�,Plant from Mitchell Park Domes collection. potted,
Nerium oleander�,Austin Pretty Limits Oleander,,
Oncidium sphacelatum,Kandyan Dancer Orchid,Plant from Mitchell Park Domes collection. easily moved,
Pandanus tectorius 'Variegata',Variegated Screw Pine,,
Pavonia x gledhillii 'Rosea',Brazilian Candles,,
Peperomia prostrata,String of Turtles,Plant from Mitchell Park Domes collection. potted,
Peperomia rotundifolia 'Hope',Peperomia,Plant from Mitchell Park Domes collection. potted,
Philodendron 'Florida Green',Florida Green Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Philodendron 'Jungle Boogie',Philodendron,,
Philodendron 'Pink Princess',Philodendron,Plant from Mitchell Park Domes collection. potted,
Philodendron billietiae,Philodendron,"Plant from Mitchell Park Domes collection. relatively expensive, easily moved",
Philodendron burle-marxii,Philodendron,,
Philodendron copense,Philodendron,"Plant from Mitchell Park Domes collection. unavailable on the market, easily propagated by cuttings",
Philodendron gloriosum,Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Philodendron hastatum 'Silver Sword',Silver Sword Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Philodendron martianum,Flask Philodendron,,
Philodendron melanochrysum,Black Gold Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Philodendron pastazanum,Philodendron,,
Philodendron plowmanii,Philodendron,Plant from Mitchell Park Domes collection. easily propagated from cuttings,
Philodendron warscewiczii,Snowflake Philodendron,Plant from Mitchell Park Domes collection. relatively expensive,
Pilea peperomioides,Chinese Money Plant,Plant from Mitchell Park Domes collection. potted,
Piper nigrum,Black Pepper,Plant from Mitchell Park Domes collection. one is potted,
Piper unguiculatum,Peruvian Pepper,"Plant from Mitchell Park Domes collection. unavailable on the market, may be difficult to move",
Platycerium alcicorne,Staghorn Fern,,
Plinia cauliflora 'Sabara',Jaboticaba,,
Plumeria rubra,Frangipani,"Plant from Mitchell Park Domes collection. large specimen, potted",
Polyscias guilfoylei 'Ming Gold',Variegated Ming Aralia,Plant from Mitchell Park Domes collection. potted,
Portea 'Candy',Bromeliad,"Plant from Mitchell Park Domes collection. one is potted, one is in a tree",
Pseuderanthemum laxiflorum,Amethyst Star,Plant from Mitchell Park Domes collection. easily propagated by cuttings,
